"echs","N","F","L","R","R2","L2"
1,60,10,3.94,33.51,10.11,20.55
1,60,20,4.08,144.41,39.09,78.4
1,60,28.5,4.93,298.23,81.35,157.56
1,60,40,5.03,595.2,161.26,308.16
2,60,50,4.55,934.01,245.45,482.88
2,60,66.6,12.58,1674.98,430.2,856.5
2,60,100,18.51,3807.75,966.91,1925.2
2,80,10,4.02,44.22,17.63,35.54
3,80,20,4.23,187.13,69.03,138.21
3,80,28.5,5.14,384.94,142.09,278.95
3,80,40,5.32,765.95,280.84,547.21
3,80,50,4.93,1200.77,432.25,856.35
1,80,66.6,13.11,2148.22,761.55,1519.04
1,80,100,19.39,4874.58,1713.8,3418.75
1,100,10,4.11,54.93,27.31,54.81
1,100,20,4.37,229.85,107.52,215.11
2,100,28.5,5.35,471.64,220.18,435.02
2,100,40,5.62,936.7,434.58,854.55
2,100,50,5.31,1467.53,672.42,1336.51
2,100,66.6,13.64,2621.46,1187.57,2370.87
3,100,100,20.27,5941.4,2674.09,5339.04
3,120,10,4.19,65.63,39.13,78.37
3,120,20,4.52,272.57,154.57,309.09
3,120,28.5,5.56,558.35,315.63,625.77
1,120,40,5.92,1107.44,622.49,1230.19
1,120,50,5.69,1734.29,965.96,1923.39
1,120,66.6,14.17,3094.71,1708.27,3412
1,120,100,21.15,7008.23,3847.78,7686.06
2,60,10,3.94,33.51,10.11,20.55
2,60,20,4.08,144.41,39.09,78.4
2,60,28.5,4.93,298.23,81.35,157.56
2,60,40,5.03,595.2,161.26,308.16
3,60,50,4.55,934.01,245.45,482.88
3,60,66.6,12.58,1674.98,430.2,856.5
3,60,100,18.51,3807.75,966.91,1925.2
3,80,10,4.02,44.22,17.63,35.54
1,80,20,4.23,187.13,69.03,138.21
1,80,28.5,5.14,384.94,142.09,278.95
1,80,40,5.32,765.95,280.84,547.21
1,80,50,4.93,1200.77,432.25,856.35
2,80,66.6,13.11,2148.22,761.55,1519.04
2,80,100,19.39,4874.58,1713.8,3418.75
2,100,10,4.11,54.93,27.31,54.81
2,100,20,4.37,229.85,107.52,215.11
3,100,28.5,5.35,471.64,220.18,435.02
3,100,40,5.62,936.7,434.58,854.55
3,100,50,5.31,1467.53,672.42,1336.51
3,100,66.6,13.64,2621.46,1187.57,2370.87
1,100,100,20.27,5941.4,2674.09,5339.04
1,120,10,4.19,65.63,39.13,78.37
1,120,20,4.52,272.57,154.57,309.09
1,120,28.5,5.56,558.35,315.63,625.77
2,120,40,5.92,1107.44,622.49,1230.19
2,120,50,5.69,1734.29,965.96,1923.39
2,120,66.6,14.17,3094.71,1708.27,3412
2,120,100,21.15,7008.23,3847.78,7686.06
3,60,10,3.94,33.51,10.11,20.55
3,60,20,4.08,144.41,39.09,78.4
3,60,28.5,4.93,298.23,81.35,157.56
3,60,40,5.03,595.2,161.26,308.16
1,60,50,4.55,934.01,245.45,482.88
1,60,66.6,12.58,1674.98,430.2,856.5
1,60,100,18.51,3807.75,966.91,1925.2
1,80,10,4.02,44.22,17.63,35.54
2,80,20,4.23,187.13,69.03,138.21
2,80,28.5,5.14,384.94,142.09,278.95
2,80,40,5.32,765.95,280.84,547.21
2,80,50,4.93,1200.77,432.25,856.35
3,80,66.6,13.11,2148.22,761.55,1519.04
3,80,100,19.39,4874.58,1713.8,3418.75
3,100,10,4.11,54.93,27.31,54.81
3,100,20,4.37,229.85,107.52,215.11
1,100,28.5,5.35,471.64,220.18,435.02
1,100,40,5.62,936.7,434.58,854.55
1,100,50,5.31,1467.53,672.42,1336.51
1,100,66.6,13.64,2621.46,1187.57,2370.87
2,100,100,20.27,5941.4,2674.09,5339.04
2,120,10,4.19,65.63,39.13,78.37
2,120,20,4.52,272.57,154.57,309.09
2,120,28.5,5.56,558.35,315.63,625.77
3,120,40,5.92,1107.44,622.49,1230.19
3,120,50,5.69,1734.29,965.96,1923.39
3,120,66.6,14.17,3094.71,1708.27,3412
3,120,100,21.15,7008.23,3847.78,7686.06
